H Team,A Team,FTHG,FTAG,HTGS,ATGS,HTFormPts,ATFormPts,FTR
1,0,4,0,0,0,0,0,H
0,1,4,2,0,1,0,3,H
1,0,1,2,4,4,6,3,A
1,0,3,2,7,7,7,6,H
0,1,1,1,9,9,6,5,A
1,0,0,0,8,10,7,7,A
0,1,0,1,10,7,5,7,A
0,1,2,0,10,4,5,2,H
1,0,0,2,12,12,7,5,A
1,0,5,0,15,12,11,5,H
0,1,0,1,14,9,7,5,A
1,0,4,1,13,14,6,6,H
0,1,0,1,15,35,6,15,A
0,1,2,3,15,20,3,12,A
1,0,2,1,26,17,4,0,H
0,1,5,0,18,19,0,9,H
1,0,2,2,19,18,6,0,A
1,0,1,0,18,25,12,4,H
0,1,0,0,25,23,4,9,A
0,1,1,4,25,26,5,4,A
1,0,1,1,19,25,7,5,A
0,1,0,4,26,31,5,7,A
1,0,1,1,24,27,10,3,A
0,1,1,1,28,43,3,8,A
1,0,1,1,29,29,7,3,A
0,1,0,1,30,30,4,7,A
1,0,0,1,32,30,6,3,A
0,1,0,1,31,33,6,13,A
1,0,2,2,18,31,0,6,A
0,1,1,3,33,34,5,8,A
1,0,3,1,33,34,7,4,H
0,1,0,4,34,49,4,10,A
1,0,1,2,33,35,3,4,A
1,0,1,1,75,37,10,4,A
0,1,1,0,37,41,4,4,H
1,0,2,1,54,39,10,7,H
0,1,1,2,40,66,7,7,A
1,0,3,0,0,0,0,0,H
0,1,1,0,0,4,0,3,H
1,0,1,0,0,1,0,3,H
0,1,3,1,1,3,3,4,H
1,0,2,1,9,1,7,3,H
0,1,2,2,5,5,6,5,A
1,0,0,0,4,7,2,7,A
0,1,0,3,7,15,5,9,A
1,0,2,0,4,7,5,5,H
0,1,0,3,7,15,2,7,A
1,0,0,2,11,7,7,2,A
1,0,1,2,8,9,1,4,A
0,1,3,1,11,16,6,11,H
1,0,3,1,16,14,4,9,H
0,1,2,0,15,17,9,5,H
1,0,0,3,8,17,5,9,A
1,0,2,2,18,20,12,9,A
0,1,3,1,24,17,7,6,H
1,0,0,1,23,27,4,10,A
1,0,2,2,23,28,6,10,A
0,1,2,1,30,30,8,13,H
1,0,2,0,39,32,10,10,H
,,,,,,,,
1,0,1,3,7,17,4,10,A
1,0,2,1,14,20,10,10,H
0,1,7,0,21,6,9,4,H
1,0,1,0,7,28,3,9,H
0,1,6,0,28,9,9,7,H
0,1,3,0,34,17,9,8,H
1,0,2,3,15,37,5,9,A
1,0,1,1,18,40,4,12,A
0,1,6,3,41,30,10,10,H
1,0,2,4,15,47,3,13,A
0,1,2,1,51,42,13,12,H
0,1,1,0,53,12,13,9,H
1,0,2,3,24,54,3,13,A
1,0,0,2,29,57,7,15,A
0,1,4,2,59,15,15,1,H
1,0,1,5,29,63,13,15,A
0,1,0,1,68,43,15,13,A
1,0,0,0,19,68,5,12,A
0,1,1,0,69,27,10,5,H
1,0,0,2,30,76,7,10,A
0,1,5,0,79,29,13,2,H
1,0,0,3,48,80,10,13,A
1,0,1,1,53,80,7,13,A
0,1,4,1,86,49,10,9,H
1,0,3,2,90,88,15,8,H
0,1,2,2,88,31,8,1,A
1,0,0,2,28,93,15,10,A
1,0,2,3,57,96,9,10,A
0,1,4,0,96,39,10,4,H
0,1,2,0,100,40,13,3,H
1,0,0,2,0,0,0,0,A
0,1,3,1,2,2,3,3,H
0,1,0,1,5,1,6,1,A
1,0,2,2,5,5,5,6,A
0,1,1,1,7,15,7,12,A
1,0,2,4,7,8,6,8,A
0,1,4,1,14,9,8,5,H
1,0,2,1,15,18,10,11,H
0,1,1,0,19,16,10,8,H
1,0,2,2,9,20,3,12,A
1,0,0,3,24,24,13,10,A
1,0,1,4,12,27,6,10,A
0,1,1,0,31,24,13,6,H
1,0,0,1,15,32,1,13,A
0,1,3,0,33,19,15,6,H
1,0,1,3,17,36,4,15,A
1,0,0,0,42,32,10,12,A
0,1,4,3,33,21,12,9,H
1,0,1,0,24,33,2,10,H
1,0,2,2,23,37,5,13,A
0,1,3,0,37,31,10,4,H
0,0,2,1,55,39,10,8,H
0,1,1,1,43,28,7,8,A
0,1,1,0,44,27,5,5,H
1,0,2,0,53,45,10,8,H
0,1,5,0,45,33,7,1,H
1,0,3,0,42,50,7,7,H
1,0,0,1,40,51,3,9,A
0,1,2,1,53,39,9,1,H
1,0,2,1,48,54,8,9,H
0,1,1,0,54,51,9,6,H
1,0,0,2,52,58,3,12,A
1,0,2,3,4,4,3,3,A
0,0,1,5,1,7,0,6,A
0,1,3,0,12,3,9,5,H
1,0,2,2,2,15,2,12,A
1,0,0,4,8,19,4,13,A
0,1,4,1,23,9,13,7,H
0,0,1,6,25,27,11,13,A
0,1,3,1,33,8,13,1,H
1,0,2,3,8,36,5,15,A
0,1,3,1,39,17,15,13,H
1,0,1,1,16,42,9,15,A
0,1,5,1,43,19,13,5,H
1,0,2,1,31,48,9,13,H
0,1,0,0,19,53,7,10,A
0,1,1,0,22,53,7,10,H
1,0,3,0,53,24,7,11,H
0,0,0,1,18,56,3,10,A
0,1,3,2,57,39,10,11,H
1,0,1,0,22,60,5,10,H
0,1,3,0,60,29,9,8,H
1,0,0,1,29,63,5,12,A
0,1,3,0,64,37,12,7,H
0,1,2,0,67,29,12,4,H
1,0,1,0,30,69,7,12,H
0,1,2,1,69,48,12,7,H
1,0,1,1,28,71,7,12,A
0,1,3,3,72,39,10,7,A
1,0,1,0,62,75,12,8,H
0,1,4,0,75,39,5,4,H
1,0,1,6,44,75,5,5,A
1,0,0,2,34,85,1,8,A
0,1,1,0,87,86,10,10,H
