HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
Bournemouth,Aston Villa,0,1,A,0,0,D,2015-16
Chelsea,Swansea,2,2,D,2,1,H,2015-16
Everton,Watford,2,2,D,0,1,A,2015-16
Leicester,Sunderland,4,2,H,3,0,H,2015-16
Man United,Tottenham,1,0,H,1,0,H,2015-16
Norwich,Crystal Palace,1,3,A,0,1,A,2015-16
Arsenal,West Ham,0,2,A,0,1,A,2015-16
Newcastle,Southampton,2,2,D,1,1,D,2015-16
Stoke,Liverpool,0,1,A,0,0,D,2015-16
West Brom,Man City,0,3,A,0,2,A,2015-16
Aston Villa,Man United,0,1,A,0,1,A,2015-16
Southampton,Everton,0,3,A,0,2,A,2015-16
Sunderland,Norwich,1,3,A,0,2,A,2015-16
Swansea,Newcastle,2,0,H,1,0,H,2015-16
Tottenham,Stoke,2,2,D,2,0,H,2015-16
Watford,West Brom,0,0,D,0,0,D,2015-16
West Ham,Leicester,1,2,A,0,2,A,2015-16
Crystal Palace,Arsenal,1,2,A,1,1,D,2015-16
Man City,Chelsea,3,0,H,1,0,H,2015-16
Liverpool,Bournemouth,1,0,H,1,0,H,2015-16
Crystal Palace,Aston Villa,2,1,H,0,0,D,2015-16
Leicester,Tottenham,1,1,D,0,0,D,2015-16
Man United,Newcastle,0,0,D,0,0,D,2015-16
Norwich,Stoke,1,1,D,1,1,D,2015-16
Sunderland,Swansea,1,1,D,0,1,A,2015-16
West Ham,Bournemouth,3,4,A,0,2,A,2015-16
Everton,Man City,0,2,A,0,0,D,2015-16
Watford,Southampton,0,0,D,0,0,D,2015-16
West Brom,Chelsea,2,3,A,1,3,A,2015-16
Arsenal,Liverpool,0,0,D,0,0,D,2015-16
Aston Villa,Sunderland,2,2,D,2,1,H,2015-16
Bournemouth,Leicester,1,1,D,1,0,H,2015-16
Chelsea,Crystal Palace,1,2,A,0,0,D,2015-16
Liverpool,West Ham,0,3,A,0,2,A,2015-16
Man City,Watford,2,0,H,0,0,D,2015-16
Newcastle,Arsenal,0,1,A,0,0,D,2015-16
Stoke,West Brom,0,1,A,0,1,A,2015-16
Tottenham,Everton,0,0,D,0,0,D,2015-16
Southampton,Norwich,3,0,H,1,0,H,2015-16
Swansea,Man United,2,1,H,0,0,D,2015-16
Arsenal,Stoke,2,0,H,1,0,H,2015-16
Crystal Palace,Man City,0,1,A,0,0,D,2015-16
Everton,Chelsea,3,1,H,2,1,H,2015-16
Man United,Liverpool,3,1,H,0,0,D,2015-16
Norwich,Bournemouth,3,1,H,1,0,H,2015-16
Watford,Swansea,1,0,H,0,0,D,2015-16
West Brom,Southampton,0,0,D,0,0,D,2015-16
Leicester,Aston Villa,3,2,H,0,1,A,2015-16
Sunderland,Tottenham,0,1,A,0,0,D,2015-16
West Ham,Newcastle,2,0,H,1,0,H,2015-16
Aston Villa,West Brom,0,1,A,0,1,A,2015-16
Bournemouth,Sunderland,2,0,H,2,0,H,2015-16
Chelsea,Arsenal,2,0,H,0,0,D,2015-16
Man City,West Ham,1,2,A,1,2,A,2015-16
Newcastle,Watford,1,2,A,0,2,A,2015-16
Stoke,Leicester,2,2,D,2,0,H,2015-16
Swansea,Everton,0,0,D,0,0,D,2015-16
Liverpool,Norwich,1,1,D,0,0,D,2015-16
Southampton,Man United,2,3,A,1,1,D,2015-16
Tottenham,Crystal Palace,1,0,H,0,0,D,2015-16
Leicester,Arsenal,2,5,A,1,2,A,2015-16
Liverpool,Aston Villa,3,2,H,1,0,H,2015-16
Man United,Sunderland,3,0,H,1,0,H,2015-16
Newcastle,Chelsea,2,2,D,1,0,H,2015-16
Southampton,Swansea,3,1,H,1,0,H,2015-16
Stoke,Bournemouth,2,1,H,1,0,H,2015-16
Tottenham,Man City,4,1,H,1,1,D,2015-16
West Ham,Norwich,2,2,D,1,1,D,2015-16
Watford,Crystal Palace,0,1,A,0,0,D,2015-16
West Brom,Everton,2,3,A,1,0,H,2015-16
Aston Villa,Stoke,0,1,A,0,0,D,2015-16
Bournemouth,Watford,1,1,D,1,1,D,2015-16
Chelsea,Southampton,1,3,A,1,1,D,2015-16
Crystal Palace,West Brom,2,0,H,0,0,D,2015-16
Man City,Newcastle,6,1,H,1,1,D,2015-16
Norwich,Leicester,1,2,A,0,1,A,2015-16
Sunderland,West Ham,2,2,D,2,1,H,2015-16
Arsenal,Man United,3,0,H,3,0,H,2015-16
Everton,Liverpool,1,1,D,1,1,D,2015-16
Swansea,Tottenham,2,2,D,2,1,H,2015-16
Chelsea,Aston Villa,2,0,H,1,0,H,2015-16
Crystal Palace,West Ham,1,3,A,1,1,D,2015-16
Everton,Man United,0,3,A,0,2,A,2015-16
Man City,Bournemouth,5,1,H,4,1,H,2015-16
Southampton,Leicester,2,2,D,2,0,H,2015-16
Tottenham,Liverpool,0,0,D,0,0,D,2015-16
Watford,Arsenal,0,3,A,0,0,D,2015-16
West Brom,Sunderland,1,0,H,0,0,D,2015-16
Newcastle,Norwich,6,2,H,3,2,H,2015-16
Swansea,Stoke,0,1,A,0,1,A,2015-16
Arsenal,Everton,2,1,H,2,1,H,2015-16
Aston Villa,Swansea,1,2,A,0,0,D,2015-16
Leicester,Crystal Palace,1,0,H,0,0,D,2015-16
Norwich,West Brom,0,1,A,0,0,D,2015-16
Stoke,Watford,0,2,A,0,1,A,2015-16
West Ham,Chelsea,2,1,H,1,0,H,2015-16
Bournemouth,Tottenham,1,5,A,1,3,A,2015-16
Liverpool,Southampton,1,1,D,0,0,D,2015-16
Man United,Man City,0,0,D,0,0,D,2015-16
Sunderland,Newcastle,3,0,H,1,0,H,2015-16
Chelsea,Liverpool,1,3,A,1,1,D,2015-16
Crystal Palace,Man United,0,0,D,0,0,D,2015-16
Man City,Norwich,2,1,H,0,0,D,2015-16
Newcastle,Stoke,0,0,D,0,0,D,2015-16
Swansea,Arsenal,0,3,A,0,0,D,2015-16
Watford,West Ham,2,0,H,1,0,H,2015-16
West Brom,Leicester,2,3,A,1,0,H,2015-16
Everton,Sunderland,6,2,H,2,1,H,2015-16
Southampton,Bournemouth,2,0,H,2,0,H,2015-16
Tottenham,Aston Villa,3,1,H,2,0,H,2015-16
Bournemouth,Newcastle,0,1,A,0,1,A,2015-16
Leicester,Watford,2,1,H,0,0,D,2015-16
Man United,West Brom,2,0,H,0,0,D,2015-16
Norwich,Swansea,1,0,H,0,0,D,2015-16
Stoke,Chelsea,1,0,H,0,0,D,2015-16
Sunderland,Southampton,0,1,A,0,0,D,2015-16
West Ham,Everton,1,1,D,1,1,D,2015-16
Arsenal,Tottenham,1,1,D,0,1,A,2015-16
Aston Villa,Man City,0,0,D,0,0,D,2015-16
Liverpool,Crystal Palace,1,2,A,1,1,D,2015-16
Chelsea,Norwich,1,0,H,0,0,D,2015-16
Everton,Aston Villa,4,0,H,3,0,H,2015-16
Man City,Liverpool,1,4,A,1,3,A,2015-16
Newcastle,Leicester,0,3,A,0,1,A,2015-16
Southampton,Stoke,0,1,A,0,1,A,2015-16
Swansea,Bournemouth,2,2,D,2,2,D,2015-16
Watford,Man United,1,2,A,0,1,A,2015-16
West Brom,Arsenal,2,1,H,2,1,H,2015-16
Tottenham,West Ham,4,1,H,2,0,H,2015-16
Crystal Palace,Sunderland,0,1,A,0,0,D,2015-16
Aston Villa,Watford,2,3,A,1,1,D,2015-16
Bournemouth,Everton,3,3,D,0,2,A,2015-16
Crystal Palace,Newcastle,5,1,H,3,1,H,2015-16
Leicester,Man United,1,1,D,1,1,D,2015-16
Man City,Southampton,3,1,H,2,0,H,2015-16
Sunderland,Stoke,2,0,H,0,0,D,2015-16
Liverpool,Swansea,1,0,H,0,0,D,2015-16
Norwich,Arsenal,1,1,D,1,1,D,2015-16
Tottenham,Chelsea,0,0,D,0,0,D,2015-16
West Ham,West Brom,1,1,D,1,0,H,2015-16
Arsenal,Sunderland,3,1,H,1,1,D,2015-16
Chelsea,Bournemouth,0,1,A,0,0,D,2015-16
Man United,West Ham,0,0,D,0,0,D,2015-16
Southampton,Aston Villa,1,1,D,0,1,A,2015-16
Stoke,Man City,2,0,H,2,0,H,2015-16
Swansea,Leicester,0,3,A,0,2,A,2015-16
Watford,Norwich,2,0,H,1,0,H,2015-16
West Brom,Tottenham,1,1,D,1,1,D,2015-16
Newcastle,Liverpool,2,0,H,0,0,D,2015-16
Everton,Crystal Palace,1,1,D,0,0,D,2015-16
Bournemouth,Man United,2,1,H,1,1,D,2015-16
Crystal Palace,Southampton,1,0,H,1,0,H,2015-16
Man City,Swansea,2,1,H,1,0,H,2015-16
Norwich,Everton,1,1,D,0,1,A,2015-16
Sunderland,Watford,0,1,A,0,1,A,2015-16
West Ham,Stoke,0,0,D,0,0,D,2015-16
Aston Villa,Arsenal,0,2,A,0,2,A,2015-16
Liverpool,West Brom,2,2,D,1,1,D,2015-16
Tottenham,Newcastle,1,2,A,1,0,H,2015-16
Leicester,Chelsea,2,1,H,1,0,H,2015-16
Chelsea,Sunderland,3,1,H,2,0,H,2015-16
Everton,Leicester,2,3,A,1,1,D,2015-16
